filename,binary_name,primary_path,categories,mitre_ids,risk,description
setupapi.dll,Setupapi.dll,c:\windows\system32\setupapi.dll,AWL Bypass|Execute,T1218.011,high,Windows Setup Application Programming Interface
sftp.exe,Sftp.exe,C:\Windows\System32\OpenSSH\sftp.exe,Execute,T1202,high,sftp.exe is a Windows command-line utility that uses the Secure File Transfer Protocol (SFTP) to securely transfer files between a local machine and a remote server.
shdocvw.dll,Shdocvw.dll,c:\windows\system32\shdocvw.dll,Execute,T1218.011,high,Shell Doc Object and Control Library.
shell32.dll,Shell32.dll,c:\windows\system32\shell32.dll,Execute,T1218.011,high,Windows Shell Common Dll
shimgvw.dll,Shimgvw.dll,c:\windows\system32\shimgvw.dll,Download,T1105,medium,Photo Gallery Viewer
sigverif.exe,Sigverif.exe,C:\Windows\System32\sigverif.exe,Execute,T1218,high,File Signature Verification utility to verify digital signatures of files
sqldumper.exe,Sqldumper.exe,C:\Program Files\Microsoft SQL Server\90\Shared\SQLDumper.exe,Dump,T1003|T1003.001,low,Debugging utility included with Microsoft SQL.
sqlps.exe,Sqlps.exe,C:\Program files (x86)\Microsoft SQL Server\100\Tools\Binn\sqlps.exe,Execute,T1218,high,Tool included with Microsoft SQL Server that loads SQL Server cmdlets. Microsoft SQL Server\100 and 110 are Powershell v2. Microsoft SQL Server\120 and 130 are Powershell version 4. Replaced by SQLToolsPS.exe in SQL Server 2016; but will be included with installation for compatability reasons.
sqltoolsps.exe,SQLToolsPS.exe,C:\Program files (x86)\Microsoft SQL Server\130\Tools\Binn\sqlps.exe,Execute,T1218,high,Tool included with Microsoft SQL that loads SQL Server cmdlts. A replacement for sqlps.exe. Successor to sqlps.exe in SQL Server 2016+.
squirrel.exe,Squirrel.exe,C:\Users\<username>\AppData\Local\Microsoft\Teams\current\Squirrel.exe,AWL Bypass|Download|Execute,T1218,high,Binary to update the existing installed Nuget/squirrel package. Part of Microsoft Teams installation.
ssh.exe,ssh.exe,c:\windows\system32\OpenSSH\ssh.exe,Execute,T1202,high,Ssh.exe is the OpenSSH compatible client can be used to connect to Windows 10 (build 1809 and later) and Windows Server 2019 devices.
stordiag.exe,Stordiag.exe,c:\windows\system32\stordiag.exe,Execute,T1218,high,Storage diagnostic tool
syncappvpublishingserver.exe,SyncAppvPublishingServer.exe,C:\Windows\System32\SyncAppvPublishingServer.exe,Execute,T1218,high,Used by App-v to get App-v server lists
syncappvpublishingserver.vbs,Syncappvpublishingserver.vbs,C:\Windows\System32\SyncAppvPublishingServer.vbs,Execute,T1216.002,high,Script used related to app-v and publishing server
syssetup.dll,Syssetup.dll,c:\windows\system32\syssetup.dll,AWL Bypass|Execute,T1218.011,high,Windows NT System Setup
tar.exe,Tar.exe,C:\Windows\System32\tar.exe,ADS|Copy,T1105|T1564.004,low,Used by Windows to extract and create archives.
te.exe,te.exe,no default,Execute,T1127,high,Testing tool included with Microsoft Test Authoring and Execution Framework (TAEF).
teams.exe,Teams.exe,C:\Users\<username>\AppData\Local\Microsoft\Teams\current\Teams.exe,Execute,T1218.015,high,Electron runtime binary which runs the Teams application
testwindowremoteagent.exe,TestWindowRemoteAgent.exe,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\RemoteAgent\TestWindowRemoteAgent.exe,Upload,T1048,medium,TestWindowRemoteAgent.exe is the command-line tool to establish RPC
tracker.exe,Tracker.exe,no default,AWL Bypass|Execute,T1127,high,Tool included with Microsoft .Net Framework.
ttdinject.exe,Ttdinject.exe,C:\Windows\System32\ttdinject.exe,Execute,T1127,high,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
tttracer.exe,Tttracer.exe,C:\Windows\System32\tttracer.exe,Dump|Execute,T1003|T1127,high,Used by Windows 1809 and newer to Debug Time Travel
unregmp2.exe,Unregmp2.exe,C:\Windows\System32\unregmp2.exe,Execute,T1202,high,Microsoft Windows Media Player Setup Utility
update.exe,Update.exe,C:\Users\<username>\AppData\Local\Microsoft\Teams\update.exe,AWL Bypass|Download|Execute,T1070|T1218|T1547,high,Binary to update the existing installed Nuget/squirrel package. Part of Microsoft Teams installation.
url.dll,Url.dll,c:\windows\system32\url.dll,Execute,T1218.011,high,Internet Shortcut Shell Extension DLL.
utilityfunctions.ps1,UtilityFunctions.ps1,C:\Windows\diagnostics\system\Networking\UtilityFunctions.ps1,Execute,T1216,high,PowerShell Diagnostic Script
vbc.exe,vbc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\vbc.exe,Compile,T1127,medium,Binary file used for compile vbs code
verclsid.exe,Verclsid.exe,C:\Windows\System32\verclsid.exe,Execute,T1218.012,high,Used to verify a COM object before it is instantiated by Windows Explorer
visio.exe,Visio.exe,C:\Program Files (x86)\Microsoft Office\Office14\Visio.exe,Download,T1105,medium,Microsoft Visio Executable
visualuiaverifynative.exe,VisualUiaVerifyNative.exe,c:\Program Files (x86)\Windows Kits\10\bin\<version>\arm64\UIAVerify\VisualUiaVerifyNative.exe,AWL Bypass,T1218,high,A Windows SDK binary for manual and automated testing of Microsoft UI Automation implementation and controls.
vsdiagnostics.exe,VSDiagnostics.exe,C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\DiagnosticsHub\Collector\VSDiagnostics.exe,Execute,T1127,high,Command-line tool used for performing diagnostics.
vshadow.exe,Vshadow.exe,C:\Program Files (x86)\Windows Kits\10\bin\<version>\x64\vshadow.exe,Execute,T1202,high,VShadow is a command-line tool that can be used to create and manage volume shadow copies.
vsiisexelauncher.exe,VSIISExeLauncher.exe,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Extensions\Microsoft\Web Tools\ProjectSystem\VSIISExeLauncher.exe,Execute,T1218,high,Binary will execute specified binary. Part of VS/VScode installation.
vsjitdebugger.exe,vsjitdebugger.exe,c:\windows\system32\vsjitdebugger.exe,Execute,T1127,high,Just-In-Time (JIT) debugger included with Visual Studio
vslaunchbrowser.exe,VSLaunchBrowser.exe,C:\Program Files\Microsoft Visual Studio\<version>\Community\Common7\IDE\VSLaunchBrowser.exe,Download|Execute,T1105|T1127,high,Microsoft Visual Studio browser launcher tool for web applications debugging
vsls-agent.exe,vsls-agent.exe,c:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\Common7\IDE\Extensions\Microsoft\LiveShare\Agent\vsls-agent.exe,Execute,T1218,high,Agent for Visual Studio Live Share (Code Collaboration)
vstest.console.exe,vstest.console.exe,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\vstest.console.exe,AWL Bypass,T1127,high,VSTest.Console.exe is the command-line tool to run tests
wab.exe,Wab.exe,C:\Program Files\Windows Mail\wab.exe,Execute,T1218,high,Windows address book manager
wbadmin.exe,wbadmin.exe,C:\Windows\System32\wbadmin.exe,Dump,T1003.003,low,Windows Backup Administration utility
wbemtest.exe,wbemtest.exe,c:\windows\system32\wbem\wbemtest.exe,Execute,T1047,high,WMI/WBEM Test Binary
wfc.exe,Wfc.exe,C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\wfc.exe,AWL Bypass,T1127,high,The Workflow Command-line Compiler tool is included with the Windows Software Development Kit (SDK).
wfmformat.exe,WFMFormat.exe,C:\there\is\no\default\installation\path\WFMFormat.exe,Execute,T1127,high,Command-line tool used for pretty-print a dump file generated by Message Farm Analyzer tool.
windbg.exe,WinDbg.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\windbg.exe,Execute,T1127,high,Windows Debugger for advanced user-mode and kernel-mode debugging.
winfile.exe,winfile.exe,C:\Windows\System32\winfile.exe,Execute,T1202,high,Windows File Manager executable
winget.exe,winget.exe,C:\Users\user\AppData\Local\Microsoft\WindowsApps\winget.exe,AWL Bypass|Download|Execute,T1105,high,Windows Package Manager tool
winproj.exe,WinProj.exe,C:\Program Files (x86)\Microsoft Office\Office14\WinProj.exe,Download,T1105,medium,Microsoft Project Executable
winrm.vbs,winrm.vbs,C:\Windows\System32\winrm.vbs,AWL Bypass|Execute,T1216|T1220,high,Script used for manage Windows RM settings
winword.exe,Winword.exe,C:\Program Files\Microsoft Office\root\Office16\winword.exe,Download,T1105,medium,Microsoft Office binary
wlrmdr.exe,Wlrmdr.exe,c:\windows\system32\wlrmdr.exe,Execute,T1202,high,Windows Logon Reminder executable
wmic.exe,Wmic.exe,C:\Windows\System32\wbem\wmic.exe,ADS|Copy|Execute,T1105|T1218|T1564.004,high,The WMI command-line (WMIC) utility provides a command-line interface for WMI
workfolders.exe,WorkFolders.exe,C:\Windows\System32\WorkFolders.exe,Execute,T1218,high,Work Folders
write.exe,write.exe,C:\Windows\write.exe,Execute,T1218,high,Windows Write
wscript.exe,Wscript.exe,C:\Windows\System32\wscript.exe,ADS,T1564.004,low,Used by Windows to execute scripts
wsl.exe,Wsl.exe,C:\Windows\System32\wsl.exe,Download|Execute,T1105|T1202|T1218,high,Windows subsystem for Linux executable
wsreset.exe,Wsreset.exe,C:\Windows\System32\wsreset.exe,UAC Bypass,T1548.002,high,Used to reset Windows Store settings according to its manifest file
wt.exe,wt.exe,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_<version_packageid>\wt.exe,Execute,T1202,high,Windows Terminal
wuauclt.exe,wuauclt.exe,C:\Windows\System32\wuauclt.exe,Execute,T1218,high,Windows Update Client
xbootmgr.exe,XBootMgr.exe,C:\Program Files\Windows Kits\10\Windows Performance Toolkit\xbootmgr.exe,Execute,T1202,high,Windows Performance Toolkit binary used to start performance traces.
xbootmgrsleep.exe,XBootMgrSleep.exe,C:\Program Files\Windows Kits\10\Windows Performance Toolkit\xbootmgrsleep.exe,Execute,T1202,high,Windows Performance Toolkit binary used for tracing and analyzing system performance during sleep and resume transitions.
xsd.exe,xsd.exe,C:\Program Files (x86)\Microsoft SDKs\Windows\<version>\bin\NETFX <version> Tools\xsd.exe,Download,T1105,medium,XML Schema Definition Tool included with the Windows Software Development Kit (SDK).
xwizard.exe,Xwizard.exe,C:\Windows\System32\xwizard.exe,Download|Execute,T1105|T1218,high,Execute custom class that has been added to the registry or download a file with Xwizard.exe
zipfldr.dll,Zipfldr.dll,c:\windows\system32\zipfldr.dll,Execute,T1218.011,high,Compressed Folder library
